Zip,Geocode
25550,"38.8637954, -82.0625052"
36620,"47.2322713, -123.9573741"
64055,"39.0608919, -94.4079213"
71107,"32.5917234, -93.8451731"
71115,"32.2392184, -93.5205641"
73114,"35.5829360, -97.5138947"
74000,"34.3035930, -94.9759687"
74001,"36.4894308, -96.0613009"
74003,"36.7340863, -96.0891032"
74005,"36.7479572, -95.9809247"
74008,"35.9239917, -95.8775964"
74009,"46.0624771, 6.0717108"
74010,"35.7905427, -96.3651570"
74011,"35.9818472, -95.8037437"
74012,"36.0582663, -95.7932008"
74013,"36.0349846, -95.7907559"
74014,"36.0643003, -95.6668306"
74015,"36.1902565, -95.7510475"
74017,"36.4143538, -95.5827334"
74020,"36.2422787, -96.4290360"
74021,"36.3591153, -95.8353837"
74028,"35.7631213, -96.4716580"
74032,"36.2160749, -96.8994495"
74033,"35.9445920, -96.0097018"
74034,"36.2325759, -96.5681666"
74035,"36.3968191, -96.3651570"
74036,"36.1794860, -95.5197394"
74037,"35.9952581, -95.9726832"
74039,"35.9069431, -96.2163597"
74043,"35.9203864, -95.7988232"
74044,"36.0714832, -96.3864428"
74046,"35.7387480, -96.5703314"
74047,"35.8742869, -96.0044121"
74048,"36.6934304, -95.6037465"
74050,"36.0769050, -96.0669266"
74053,"36.4392472, -95.7405139"
74055,"36.2726958, -95.8353837"
74061,"36.5295897, -95.8775964"
74063,"36.1464769, -96.1951320"
74063,"36.1464769, -96.1951320"
74065,"46.0354970, 5.9590780"
74066,"35.9980959, -96.1314928"
74070,"36.4144274, -96.0255738"
74073,"36.2962207, -96.0149920"
74074,"36.0737703, -97.1144039"
74076,"36.1133016, -97.0572308"
74080,"36.5131890, -95.7721204"
74088,"46.0496910, 6.0717930"
74100,"34.3022913, -94.9608194"
74101,"36.1510884, -95.9945809"
74102,"36.1510884, -95.9945809"
74103,"36.1592882, -95.9964783"
74104,"36.1423240, -95.9568250"
74105,"36.1036376, -95.9726832"
74106,"36.1948497, -95.9885456"
74107,"36.0993914, -96.0573302"
74108,"36.1505981, -95.7879300"
74109,"46.0801740, 5.8610400"
74110,"36.1856128, -95.9568250"
74112,"36.1449378, -95.9039944"
74113,"-2.4702354, 111.7137694"
74114,"36.1237711, -95.9488975"
74115,"36.1933771, -95.9092754"
74116,"36.1964847, -95.8459341"
74117,"36.2428267, -95.8934338"
74119,"36.1433174, -95.9911897"
74120,"36.1495215, -95.9753267"
74122,"46.1184520, 6.3585450"
74126,"36.2529969, -96.0149920"
74127,"36.1870511, -96.0361574"
